Ime,Znamka,Letnik,Prevoženi kilometri,Tip goriva,Tip menjalnika,Moč motorja,Cena,Prodajalec
Mercedes-Benz C-Razred,Mercedes-Benz,2016,210879,Dizel,Avtomatski,170,15490,Pravna oseba
Audi Q7,Audi,2018,194402,Dizel,Avtomatski,272,29990,Pravna oseba
Škoda Superb,Škoda,2016,195256,Dizel,Avtomatski,190,16500,Pravna oseba
BMW serija 3 Touring:,BMW,2019,228017,Dizel,Avtomatski,150,12990,Pravna oseba
Volkswagen Tiguan,Volkswagen,2016,192112,Dizel,Avtomatski,190,20490,Pravna oseba
Audi Q8,Audi,2018,165000,Dizel,Avtomatski,286,46990,Pravna oseba
BMW serija 5:,BMW,2022,141000,Dizel,Avtomatski,286,39990,Pravna oseba
Škoda Superb,Škoda,2016,204841,Dizel,Ročni,120,10990,Pravna oseba
Volkswagen Passat Variant,Volkswagen,2017,208300,Dizel,Avtomatski,150,14500,Pravna oseba
Volkswagen Passat Variant,Volkswagen,2016,197700,Dizel,Avtomatski,150,13490,Pravna oseba
Škoda Octavia,Škoda,2018,186950,Dizel,Avtomatski,150,12990,Pravna oseba
Renault Talisman,Renault,2016,172337,Dizel,Avtomatski,131,10500,Pravna oseba
BMW serija X3:,BMW,2006,199740,Dizel,Ročni,150,5490,Pravna oseba
Audi A6 Avant,Audi,2019,158057,Dizel,Avtomatski,204,22990,Pravna oseba
Audi A6,Audi,2016,288611,Dizel,Avtomatski,190,13990,Pravna oseba
Volkswagen Arteon,Volkswagen,2019,194438,Dizel,Avtomatski,190,20990,Pravna oseba
Škoda Kodiaq,Škoda,2017,174072,Dizel,Avtomatski,150,19990,Pravna oseba
Mercedes-Benz E-Razred,Mercedes-Benz,2018,110346,Dizel,Avtomatski,150,24990,Pravna oseba
Audi A7,Audi,2017,147649,Dizel,Avtomatski,272,24990,Pravna oseba
BMW serija 3:,BMW,2019,99279,Dizel,Avtomatski,150,22990,Pravna oseba
Opel Insignia,Opel,2017,115985,Dizel,Avtomatski,170,13990,Pravna oseba
Škoda Superb,Škoda,2021,188656,Dizel,Avtomatski,150,16990,Pravna oseba
BMW serija 3 Touring:,BMW,2017,204960,Dizel,Avtomatski,150,12490,Pravna oseba
BMW serija 3:,BMW,2019,195577,Dizel,Avtomatski,150,23990,Pravna oseba
Volkswagen Golf,Volkswagen,2013,248044,Dizel,Avtomatski,150,10490,Pravna oseba
Mercedes-Benz E-Razred,Mercedes-Benz,2017,190879,Dizel,Avtomatski,194,21490,Pravna oseba
Mercedes-Benz E-Razred,Mercedes-Benz,2017,179982,Dizel,Avtomatski,150,21990,Pravna oseba
BMW serija 5 Touring:,BMW,2012,334988,Dizel,Avtomatski,258,Cena po dogovoru,Pravna oseba
Škoda Octavia,Škoda,2017,178754,Dizel,Avtomatski,150,Cena po dogovoru,Pravna oseba
Peugeot 3008,Peugeot,2020,114414,Bencin,Avtomatski,131,12990,Pravna oseba
Škoda Superb,Škoda,2018,178000,Dizel,Avtomatski,150,15500,Pravna oseba
Škoda Octavia,Škoda,2020,160000,Dizel,Ročni,116,14500,Pravna oseba
Audi A6,Audi,2018,193166,Dizel,Avtomatski,190,16990,Pravna oseba
Mercedes-Benz C-Razred,Mercedes-Benz,2016,180808,Dizel,Avtomatski,170,16990,Pravna oseba
Volkswagen Tiguan,Volkswagen,2017,151700,Dizel,Avtomatski,190,21500,Pravna oseba
Volkswagen Passat Variant,Volkswagen,2015,189000,Dizel,Avtomatski,150,12990,Pravna oseba
Audi A4 Avant,Audi,2016,199632,Dizel,Avtomatski,150,13990,Pravna oseba
Peugeot 3008,Peugeot,2016,267031,Dizel,Avtomatski,120,5980,Pravna oseba
Renault Kadjar,Renault,2016,246981,Dizel,Ročni,131,7480,Pravna oseba
Volkswagen Caddy,Volkswagen,2021,133754,Dizel,Ročni,102,18499,Pravna oseba
Volkswagen T-Roc,Volkswagen,2025,11367,Bencin,Avtomatski,150,31299,Pravna oseba
Škoda Kodiaq,Škoda,2020,221000,Dizel,Avtomatski,190,20980,Pravna oseba
Volkswagen Passat,Volkswagen,2020,248000,Dizel,Avtomatski,150,12980,Pravna oseba
Volkswagen Tiguan Allspace,Volkswagen,2021,222000,Dizel,Avtomatski,150,23980,Pravna oseba
Volkswagen Golf,Volkswagen,2020,211000,Dizel,Ročni,116,8980,Pravna oseba
Volkswagen Passat,Volkswagen,2021,199000,Dizel,Avtomatski,200,16980,Pravna oseba
Ford Ecosport,Ford,2018,84000,Bencin,Avtomatski,125,9980,Pravna oseba
Suzuki Swift,Suzuki,2006,247180,Bencin,Ročni,92,1990,Pravna oseba
Audi A6,Audi,2003,344920,Dizel,Avtomatski,163,1990,Pravna oseba
Škoda Octavia,Škoda,2020,171701,Bencin,Avtomatski,245,19750,Pravna oseba
Škoda Superb,Škoda,2019,206244,Dizel,Avtomatski,190,20750,Pravna oseba
Škoda Kodiaq,Škoda,2022,132501,Bencin,Avtomatski,190,31990,Pravna oseba
Škoda Kodiaq,Škoda,2022,152341,Bencin,Avtomatski,245,34990,Pravna oseba
Volvo XC40,Volvo,2021,120447,Hibrid,Avtomatski,211,19480,Pravna oseba
Hyundai Tucson,Hyundai,2022,60000,Hibrid,Avtomatski,179,27500,Fizična oseba
Opel Astra,Opel,2024,82777,Hibrid,Avtomatski,181,17880,Pravna oseba
KIA Sportage,KIA,2020,63000,Bencin,Ročni,132,15990,Pravna oseba
KIA Stonic,KIA,2021,122428,Bencin,Avtomatski,101,11999,Pravna oseba
Citroën C3,Citroën,2006,200000,Bencin,Ročni,1,650,Fizična oseba
BMW Serija 2,BMW,2025,13423,Bencin,Avtomatski,122,25990,Pravna oseba
Ford Focus,Ford,2004,207121,Bencin,Ročni,101,1900,Pravna oseba
Volkswagen Golf,Volkswagen,2004,303000,Bencin,Avtomatski,200,,Pravna oseba
Seat Ibiza,Seat,2019,78500,Plin,Ročni,90,8900,Pravna oseba
Peugeot 2008,Peugeot,2015,149000,Bencin,Ročni,82,5900,Pravna oseba
BMW X5,BMW,2022,173000,Dizel,Avtomatski,340,,Pravna oseba
Audi Q3,Audi,2017,184000,Dizel,Ročni,120,,Pravna oseba
Audi A6,Audi,2019,140200,Dizel,Avtomatski,245,29900,Pravna oseba
Audi A4,Audi,2018,244000,Dizel,Avtomatski,190,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL,BYD,,,,Avtomatski,530,,Pravna oseba
BYD SEAL,BYD,,,,Avtomatski,530,,Pravna oseba
BYD SEAL,BYD,,,,Avtomatski,530,,Pravna oseba
BYD SEAL,BYD,,,,Avtomatski,530,,Pravna oseba
BYD SEAL,BYD,,,,Avtomatski,530,,Pravna oseba
BYD SEAL,BYD,,,,Avtomatski,530,,Pravna oseba
BYD SEAL,BYD,,,,Avtomatski,530,,Pravna oseba
BYD SEAL,BYD,,,,Avtomatski,530,,Pravna oseba
BYD SEAL,BYD,,,,Avtomatski,530,,Pravna oseba
BYD SEAL,BYD,,,,Avtomatski,530,,Pravna oseba
BYD SEAL,BYD,,,,Avtomatski,313,,Pravna oseba
BYD SEAL,BYD,,,,Avtomatski,313,,Pravna oseba
BYD SEAL,BYD,,,,Avtomatski,313,,Pravna oseba
BYD SEAL,BYD,,,,Avtomatski,313,,Pravna oseba
BYD SEAL,BYD,,,,Avtomatski,313,,Pravna oseba
BYD SEAL,BYD,,,,Avtomatski,313,,Pravna oseba
BYD SEAL,BYD,,,,Avtomatski,313,,Pravna oseba
BYD SEAL,BYD,,,,Avtomatski,313,,Pravna oseba
BYD SEAL,BYD,,,,Avtomatski,313,,Pravna oseba
BYD SEAL,BYD,,,,Avtomatski,313,,Pravna oseba
BYD DOLPHIN SURF,BYD,,,,Avtomatski,156,25300,Pravna oseba
BYD DOLPHIN SURF,BYD,,,,Avtomatski,156,25300,Pravna oseba
BYD DOLPHIN SURF,BYD,,,,Avtomatski,156,25300,Pravna oseba
BYD DOLPHIN SURF,BYD,,,,Avtomatski,156,25300,Pravna oseba
BYD DOLPHIN SURF,BYD,,,,Avtomatski,88,22400,Pravna oseba
BYD DOLPHIN SURF,BYD,,,,Avtomatski,88,22400,Pravna oseba
BYD DOLPHIN SURF,BYD,,,,Avtomatski,88,22400,Pravna oseba
BYD DOLPHIN SURF,BYD,,,,Avtomatski,88,22400,Pravna oseba
BYD DOLPHIN SURF,BYD,,,,Avtomatski,88,18990,Pravna oseba
BYD DOLPHIN SURF,BYD,,,,Avtomatski,88,18990,Pravna oseba
BYD DOLPHIN SURF,BYD,,,,Avtomatski,88,18990,Pravna oseba
BYD DOLPHIN SURF,BYD,,,,Avtomatski,88,18990,Pravna oseba
BYD DOLPHIN SURF,BYD,,,,Avtomatski,88,18990,Pravna oseba
BYD ATTO 2,BYD,,,Hibrid,Avtomatski,212,,Pravna oseba
BYD ATTO 2,BYD,,,Hibrid,Avtomatski,212,,Pravna oseba
BYD ATTO 2,BYD,,,Hibrid,Avtomatski,212,,Pravna oseba
BYD ATTO 2,BYD,,,Hibrid,Avtomatski,212,,Pravna oseba
BYD ATTO 2,BYD,,,Hibrid,Avtomatski,212,,Pravna oseba
BYD ATTO 2,BYD,,,Hibrid,Avtomatski,212,,Pravna oseba
BYD ATTO 2,BYD,,,Hibrid,Avtomatski,212,,Pravna oseba
BYD ATTO 2,BYD,,,Hibrid,Avtomatski,212,,Pravna oseba
BYD ATTO 2,BYD,,,Hibrid,Avtomatski,166,,Pravna oseba
BYD ATTO 2,BYD,,,Hibrid,Avtomatski,166,,Pravna oseba
BYD ATTO 2,BYD,,,Hibrid,Avtomatski,166,,Pravna oseba
BYD ATTO 2,BYD,,,Hibrid,Avtomatski,166,,Pravna oseba
BYD ATTO 2,BYD,,,,Avtomatski,204,,Pravna oseba
BYD ATTO 2,BYD,,,,Avtomatski,204,,Pravna oseba
BYD ATTO 2,BYD,,,,Avtomatski,204,,Pravna oseba
BYD ATTO 2,BYD,,,,Avtomatski,204,,Pravna oseba
BYD ATTO 2,BYD,,,,Avtomatski,204,,Pravna oseba
BYD ATTO 2,BYD,,,,Avtomatski,204,,Pravna oseba
BYD SEALION 7,BYD,,,,Avtomatski,530,,Pravna oseba
BYD SEALION 7,BYD,,,,Avtomatski,530,,Pravna oseba
BYD SEALION 7,BYD,,,,Avtomatski,530,,Pravna oseba
BYD ATTO 2,BYD,,,,Avtomatski,204,,Pravna oseba
BYD ATTO 2,BYD,,,,Avtomatski,204,,Pravna oseba
BYD ATTO 2,BYD,,,,Avtomatski,204,,Pravna oseba
BYD SEALION 7,BYD,,,,Avtomatski,530,,Pravna oseba
BYD SEALION 7,BYD,,,,Avtomatski,530,,Pravna oseba
BYD SEALION 7,BYD,,,,Avtomatski,530,,Pravna oseba
BYD SEALION 7,BYD,,,,Avtomatski,530,,Pravna oseba
BYD SEALION 7,BYD,,,,Avtomatski,530,,Pravna oseba
BYD SEALION 7,BYD,,,,Avtomatski,530,,Pravna oseba
BYD SEALION 7,BYD,,,,Avtomatski,530,,Pravna oseba
BYD SEALION 7,BYD,,,,Avtomatski,530,,Pravna oseba
BYD SEALION 7,BYD,,,,Avtomatski,530,,Pravna oseba
BYD SEALION 7,BYD,,,,Avtomatski,530,,Pravna oseba
BYD SEALION 7,BYD,,,,Avtomatski,530,,Pravna oseba
BYD SEALION 7,BYD,,,,Avtomatski,530,,Pravna oseba
BYD SEALION 7,BYD,,,,Avtomatski,530,,Pravna oseba
BYD SEALION 7,BYD,,,,Avtomatski,530,,Pravna oseba
BYD SEALION 7,BYD,,,,Avtomatski,313,,Pravna oseba
BYD SEALION 7,BYD,,,,Avtomatski,313,,Pravna oseba
BYD SEALION 7,BYD,,,,Avtomatski,313,,Pravna oseba
BYD SEALION 7,BYD,,,,Avtomatski,313,,Pravna oseba
BYD SEALION 7,BYD,,,,Avtomatski,313,,Pravna oseba
BYD SEALION 7,BYD,,,,Avtomatski,313,,Pravna oseba
BYD SEALION 7,BYD,,,,Avtomatski,313,,Pravna oseba
BYD SEALION 7,BYD,,,,Avtomatski,313,,Pravna oseba
BYD SEAL U,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL U,BYD,,,Hibrid,Avtomatski,324,,Pravna oseba
BYD SEAL U,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL U,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD Sealion 5,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD Sealion 5,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD Sealion 5,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD Sealion 5,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD Sealion 5,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD Sealion 5,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD Sealion 5,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD Sealion 5,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD Sealion 5,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD Sealion 5,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD Sealion 5,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD Sealion 5,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD Sealion 5,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD Sealion 5,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD Sealion 5,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD Sealion 5,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL U,BYD,,,Hibrid,Avtomatski,324,,Pravna oseba
BYD SEAL U,BYD,,,Hibrid,Avtomatski,324,,Pravna oseba
BYD SEAL U,BYD,,,Hibrid,Avtomatski,324,,Pravna oseba
BYD SEAL U,BYD,,,Hibrid,Avtomatski,324,,Pravna oseba
BYD SEAL U,BYD,,,Hibrid,Avtomatski,324,,Pravna oseba
BYD SEAL U,BYD,,,Hibrid,Avtomatski,324,,Pravna oseba
BYD SEAL U,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL U,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL U,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL U,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL U,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL U,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL U,BYD,,,,Avtomatski,218,,Pravna oseba
BYD SEAL U,BYD,,,,Avtomatski,218,,Pravna oseba
BYD SEAL U,BYD,,,,Avtomatski,218,,Pravna oseba
BYD SEAL U,BYD,,,,Avtomatski,218,,Pravna oseba
BYD SEAL U,BYD,,,,Avtomatski,218,,Pravna oseba
BYD SEAL U,BYD,,,,Avtomatski,218,,Pravna oseba
BYD SEAL U,BYD,,,,Avtomatski,218,,Pravna oseba
BYD SEAL U,BYD,,,,Avtomatski,218,,Pravna oseba
BYD SEAL U,BYD,,,,Avtomatski,218,,Pravna oseba
BYD SEAL U,BYD,,,,Avtomatski,218,,Pravna oseba
BYD SEAL U,BYD,,,,Avtomatski,218,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL U,BYD,,,,Avtomatski,218,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
BYD SEAL 6,BYD,,,Hibrid,Avtomatski,197,,Pravna oseba
Audi Q5,Audi,2017,224074,Dizel,Avtomatski,190,20990,Pravna oseba
Škoda Octavia,Škoda,2012,319913,Dizel,Ročni,140,,Pravna oseba
Volkswagen Passat,Volkswagen,2016,301500,Dizel,Ročni,150,8990,Pravna oseba
Volvo XC60,Volvo,2022,94403,Dizel,Avtomatski,235,33222,Pravna oseba
BMW Serija 2,BMW,2016,250000,Dizel,Avtomatski,190,8000,Fizična oseba
Renault Clio,Renault,2023,41367,Bencin,Ročni,91,12999,Pravna oseba
Omoda 7,Omoda,,,Hibrid,Avtomatski,143,34990,Pravna oseba
Citroën C3,Citroën,2016,131000,Dizel,Ročni,99,6390,Pravna oseba
BMW Serija 1,BMW,2014,149950,Bencin,Ročni,136,8800,Fizična oseba
BMW Serija 5,BMW,2014,306374,Dizel,Avtomatski,150,6999,Pravna oseba
Volkswagen Passat,Volkswagen,2015,298000,Dizel,Avtomatski,150,9490,Pravna oseba
Hyundai ix20,Hyundai,2013,136000,Bencin,Ročni,90,5790,Pravna oseba
Hyundai ix20,Hyundai,2013,136000,Bencin,Ročni,90,5790,Pravna oseba
Mazda Mazda3,Mazda,2016,263000,Dizel,Ročni,150,8500,Fizična oseba
Renault Clio,Renault,2018,62588,Bencin,Ročni,90,8870,Pravna oseba
Mercedes-Benz C-Razred,Mercedes-Benz,2016,237852,Dizel,Avtomatski,170,11940,Pravna oseba
Volkswagen Tiguan,Volkswagen,2022,96712,Dizel,Avtomatski,150,23999,Pravna oseba
Fiat Tipo,Fiat,2019,127051,Bencin,Ročni,95,,Pravna oseba
Mercedes-Benz GLB-Razred,Mercedes-Benz,2025,6029,Dizel,Avtomatski,150,39990,Pravna oseba
Volvo XC40,Volvo,2019,152104,Dizel,Avtomatski,150,18980,Pravna oseba
Volkswagen Arteon Shooting Brake,Volkswagen,2022,95689,Dizel,Avtomatski,150,24980,Pravna oseba
Mercedes-Benz B-Razred,Mercedes-Benz,2023,54252,Dizel,Avtomatski,116,23990,Pravna oseba
BMW serija 3 Touring:,BMW,2021,160170,Dizel,Avtomatski,190,18980,Pravna oseba
DS DS 7 Crossback,DS,2020,151200,Dizel,Avtomatski,131,18880,Pravna oseba
Mercedes-Benz GLA-Razred,Mercedes-Benz,2016,96742,Dizel,Ročni,109,15990,Pravna oseba
Mercedes-Benz B-Razred,Mercedes-Benz,2026,2278,Bencin,Avtomatski,136,31490,Pravna oseba
Volkswagen Passat,Volkswagen,2021,166438,Dizel,Avtomatski,200,20990,Pravna oseba
Volkswagen Passat,Volkswagen,2021,166438,Dizel,Avtomatski,200,20990,Pravna oseba
Opel Grandland X,Opel,2018,121890,Bencin,Ročni,131,9490,Pravna oseba
Volkswagen Touareg,Volkswagen,2020,180100,Dizel,Ročni,286,32900,Pravna oseba
Volkswagen Arteon,Volkswagen,2024,73440,Dizel,Avtomatski,150,33400,Pravna oseba
Volkswagen Up!,Volkswagen,2019,145833,Bencin,Ročni,90,7950,Pravna oseba
Audi Q5,Audi,2018,170187,Dizel,Avtomatski,190,23990,Pravna oseba
Volkswagen Passat,Volkswagen,2021,205288,Dizel,Avtomatski,150,14290,Pravna oseba
Mercedes-Benz CLA-Razred,Mercedes-Benz,2026,1,,Avtomatski,272,,Pravna oseba
Mercedes-Benz E-Razred,Mercedes-Benz,2013,106060,Dizel,Avtomatski,170,,Pravna oseba
BMW X2,BMW,2025,15900,Dizel,Avtomatski,150,46990,Pravna oseba
Audi A5,Audi,2022,139090,Dizel,Avtomatski,163,28490,Pravna oseba
Škoda Octavia,Škoda,2018,118108,Bencin,Avtomatski,150,15890,Pravna oseba
Volkswagen Passat,Volkswagen,2025,24980,Dizel,Avtomatski,150,33690,Pravna oseba
Renault Clio,Renault,2015,99875,Bencin,Ročni,73,5990,Pravna oseba
Volkswagen Golf,Volkswagen,2018,169754,Dizel,Avtomatski,184,16690,Pravna oseba
Volkswagen Golf,Volkswagen,2018,169754,Dizel,Avtomatski,184,16690,Pravna oseba
Volkswagen T-Roc,Volkswagen,2021,143208,Bencin,Avtomatski,150,17390,Pravna oseba
Volkswagen Passat,Volkswagen,2021,147923,Dizel,Avtomatski,150,16990,Pravna oseba
Škoda Octavia,Škoda,2018,171455,Dizel,Avtomatski,116,9990,Pravna oseba
Volkswagen Passat,Volkswagen,2022,140295,Dizel,Avtomatski,150,18490,Pravna oseba
Škoda Kamiq,Škoda,2025,22939,Bencin,Ročni,95,16990,Pravna oseba
Volkswagen Passat,Volkswagen,2019,172872,Dizel,Avtomatski,150,13990,Pravna oseba
Volkswagen Passat,Volkswagen,2019,169262,Dizel,Avtomatski,150,13990,Pravna oseba
Volkswagen Passat,Volkswagen,2021,157147,Dizel,Avtomatski,150,16890,Pravna oseba
Škoda Octavia,Škoda,2020,141975,Dizel,Avtomatski,150,13190,Pravna oseba
Volkswagen Golf,Volkswagen,2018,169754,Dizel,Avtomatski,184,16990,Pravna oseba
Mercedes-Benz GLE-Razred,Mercedes-Benz,2021,160000,Dizel,Avtomatski,272,48900,Pravna oseba
Hyundai Bayon,Hyundai,2025,5000,Bencin,Ročni,79,16480,Pravna oseba
Škoda Kodiaq,Škoda,2022,103931,Dizel,Avtomatski,150,26980,Pravna oseba
BMW Serija 3,BMW,2025,58463,Dizel,Avtomatski,190,43990,Pravna oseba
BMW Serija 3,BMW,2025,58463,Dizel,Avtomatski,190,43990,Pravna oseba
Volvo XC40,Volvo,2021,116199,Bencin,Avtomatski,129,20990,Pravna oseba
Mercedes-Benz E-Razred,Mercedes-Benz,2019,233000,Dizel,Avtomatski,194,28950,Pravna oseba
Mercedes-Benz V-Razred,Mercedes-Benz,2018,169000,Dizel,Avtomatski,190,33950,Pravna oseba
Volvo XC40,Volvo,2019,129000,Dizel,Avtomatski,190,22950,Pravna oseba
BMW serija 8 Gran Coupe:,BMW,2019,200000,Dizel,Avtomatski,340,46950,Pravna oseba
BMW serija X7:,BMW,2019,131000,Dizel,Avtomatski,400,69950,Pravna oseba
Renault Talisman,Renault,2017,230000,Dizel,Avtomatski,160,Cena po dogovoru,Pravna oseba
Mercedes-Benz A-Razred,Mercedes-Benz,2020,,Bencin,Avtomatski,421,Cena po dogovoru,Pravna oseba
BMW serija 1:,BMW,2020,163000,Dizel,Avtomatski,150,23950,Pravna oseba
BMW serija 3 Touring:,BMW,2022,155000,Dizel,Avtomatski,150,23950,Pravna oseba
Opel Astra,Opel,2014,,Bencin,Ročni,280,Cena po dogovoru,Pravna oseba
Volkswagen Golf Variant,Volkswagen,2019,212000,Dizel,Avtomatski,150,9950,Pravna oseba
Volkswagen CrossPolo,Volkswagen,2016,,Dizel,Ročni,90,Cena po dogovoru,Pravna oseba
BMW serija 4 Coupe:,BMW,2023,,Dizel,Avtomatski,340,Cena po dogovoru,Pravna oseba
Volkswagen Passat Variant,Volkswagen,2021,172000,Dizel,Avtomatski,239,20950,Pravna oseba
Volvo XC90,Volvo,2017,273000,Dizel,Avtomatski,235,17950,Pravna oseba
Hyundai Kona,Hyundai,2022,177000,Dizel,Avtomatski,136,13950,Pravna oseba
Citroën C5 X,Citroën,2023,51000,Bencin,Avtomatski,131,14950,Pravna oseba
Mercedes-Benz E-Razred,Mercedes-Benz,2016,145000,Dizel,Avtomatski,136,16950,Pravna oseba
Volkswagen Golf Variant,Volkswagen,2015,,Dizel,Avtomatski,184,Cena po dogovoru,Pravna oseba
Audi A3,Audi,2017,,Dizel,Ročni,150,Cena po dogovoru,Pravna oseba
BMW serija 5:,BMW,2017,259000,Dizel,Avtomatski,190,20950,Pravna oseba
Volkswagen Passat Alltrack,Volkswagen,2021,243000,Dizel,Avtomatski,200,18950,Pravna oseba
Audi S3 Cabriolet,Audi,2017,179000,Bencin,Avtomatski,310,19950,Pravna oseba
BMW serija 3 Gran Turismo:,BMW,2016,330000,Dizel,Ročni,150,7950,Pravna oseba
BMW serija 3:,BMW,2012,277000,Dizel,Ročni,116,5950,Pravna oseba
Mazda Mazda6,Mazda,2013,257000,Dizel,Ročni,150,5950,Pravna oseba
Volkswagen Polo,Volkswagen,2018,167000,Dizel,Ročni,95,9950,Pravna oseba
BMW serija 3 Touring:,BMW,2015,,Dizel,Avtomatski,150,Cena po dogovoru,Pravna oseba
Volkswagen Passat Variant,Volkswagen,2022,127780,Dizel,Avtomatski,150,18780,Pravna oseba
Volkswagen Passat Variant,Volkswagen,2024,79865,Bencin,Avtomatski,150,26980,Pravna oseba
Audi A6 Avant,Audi,2015,232982,Dizel,Avtomatski,204,11500,Pravna oseba
Audi Q5,Audi,2017,177000,Dizel,Avtomatski,150,19850,Pravna oseba
Ford Focus,Ford,2021,157386,Dizel,Avtomatski,120,9690,Pravna oseba
Mercedes-Benz CLS Shooting Brake,Mercedes-Benz,,,,Avtomatski,224,,Pravna oseba
Mercedes-Benz CLA-Razred,Mercedes-Benz,2024,11372,Dizel,Avtomatski,150,34488,Pravna oseba
Mercedes-Benz A-Razred,Mercedes-Benz,2017,142881,Bencin,Avtomatski,122,,Pravna oseba
Peugeot 5008,Peugeot,2025,13103,Bencin,Avtomatski,145,29988,Pravna oseba
Peugeot 308,Peugeot,2025,17392,Dizel,Avtomatski,131,21988,Pravna oseba
Peugeot 308,Peugeot,2025,15222,Dizel,Avtomatski,131,21988,Pravna oseba
Peugeot 308,Peugeot,2025,40819,Dizel,Avtomatski,131,18488,Pravna oseba
Peugeot 208,Peugeot,2025,9488,Bencin,Avtomatski,110,18988,Pravna oseba
Peugeot 2008,Peugeot,2025,14239,Bencin,Ročni,101,17488,Pravna oseba
Peugeot 2008,Peugeot,2025,3496,Bencin,Ročni,101,18488,Pravna oseba
Mitsubishi Outlander,Mitsubishi,2020,226427,Bencin,Avtomatski,150,,Pravna oseba
