Ime,Znamka,Letnik,Prevoženi kilometri,Tip goriva,Tip menjalnika,Moč motorja,Cena,Prodajalec
Renault Grand Espace,Renault,2023,43000,Hibrid,Avtomatski,200,,Pravna oseba
Renault Talisman,Renault,2021,122924,Dizel,Avtomatski,159,,Pravna oseba
Renault Austral,Renault,,,Bencin,Avtomatski,150,28399,Pravna oseba
Škoda Octavia,Škoda,2024,89000,Dizel,Avtomatski,150,,Pravna oseba
Volkswagen Passat,Volkswagen,2021,117000,Dizel,Avtomatski,150,,Pravna oseba
Mercedes-Benz GLC-Razred,Mercedes-Benz,2021,74000,Dizel,Avtomatski,194,,Pravna oseba
Mercedes-Benz GLC-Razred,Mercedes-Benz,2021,102417,Dizel,Avtomatski,194,,Pravna oseba
Audi e-tron,Audi,2023,27818,,Avtomatski,408,,Pravna oseba
Audi e-tron,Audi,2022,44562,,Avtomatski,360,,Pravna oseba
Audi e-tron,Audi,2022,49000,,Avtomatski,408,,Pravna oseba
Mercedes-Benz EQC,Mercedes-Benz,2022,67000,,Avtomatski,408,,Pravna oseba
Audi e-tron,Audi,2023,96312,,Avtomatski,408,,Pravna oseba
Dacia Sandero,Dacia,,,Bencin,Ročni,110,14650,Pravna oseba
Dacia Sandero,Dacia,,,Bencin,Ročni,101,11860,Pravna oseba
Mazda CX-3,Mazda,2017,103000,Bencin,Ročni,120,,Pravna oseba
Citroën C4,Citroën,2021,90003,Dizel,Ročni,110,,Pravna oseba
Citroën C3,Citroën,2021,145809,Dizel,Ročni,102,,Pravna oseba
Cupra Formentor,Cupra,2022,99800,Dizel,Avtomatski,150,24900,Pravna oseba
Audi A4,Audi,2020,146254,Dizel,Avtomatski,136,,Pravna oseba
Škoda Kodiaq,Škoda,2022,124608,Dizel,Avtomatski,150,,Pravna oseba
Škoda Kodiaq,Škoda,2022,130118,Dizel,Avtomatski,150,,Pravna oseba
Renault Austral,Renault,,,Bencin,Avtomatski,158,29750,Pravna oseba
Mercedes-Benz EQA,Mercedes-Benz,2023,57590,,Avtomatski,190,,Pravna oseba
Hyundai Tucson,Hyundai,2020,61826,Bencin,Ročni,132,,Pravna oseba
Ford Galaxy,Ford,2019,185287,Dizel,Avtomatski,150,,Pravna oseba
Dacia Bigster,Dacia,,,Hibrid,Avtomatski,156,28820,Pravna oseba
Dacia Bigster,Dacia,,,Hibrid,Avtomatski,156,28820,Pravna oseba
Cupra Born,Cupra,2023,116087,,Avtomatski,231,,Pravna oseba
Volvo XC60,Volvo,2018,112163,Bencin,Avtomatski,250,23999,Pravna oseba
BMW X5,BMW,2019,182000,Dizel,Avtomatski,400,,Pravna oseba
BMW X2,BMW,2023,33216,Bencin,Ročni,136,,Pravna oseba
BMW Serija 4,BMW,2022,149002,Dizel,Avtomatski,163,,Pravna oseba
BMW Serija 5,BMW,2022,86000,Hibrid,Avtomatski,292,,Pravna oseba
Audi A3,Audi,2021,114526,Hibrid,Avtomatski,204,,Pravna oseba
BMW Serija 3,BMW,2021,171000,Dizel,Avtomatski,150,,Pravna oseba
KIA Sportage,KIA,2026,5000,Bencin,Avtomatski,150,29799,Pravna oseba
BMW Serija 2,BMW,2023,30959,Hibrid,Avtomatski,136,,Pravna oseba
BMW i5,BMW,2024,25250,,Avtomatski,340,,Pravna oseba
Audi S6,Audi,2022,142405,Dizel,Avtomatski,344,,Pravna oseba
Audi A6 Allroad,Audi,2022,145581,Dizel,Avtomatski,204,,Pravna oseba
Volkswagen Arteon,Volkswagen,2019,,Dizel,Ročni,150,18150,Fizična oseba
KIA Sportage,KIA,2026,5000,Bencin,Avtomatski,150,29799,Pravna oseba
Audi A4,Audi,2020,150631,Dizel,Avtomatski,136,,Pravna oseba
Volkswagen ID.7,Volkswagen,2023,50688,,Avtomatski,286,,Pravna oseba
Mazda CX-5,Mazda,2020,159989,Dizel,Ročni,150,,Pravna oseba
BMW X1,BMW,2023,102808,Dizel,Avtomatski,211,,Pravna oseba
Renault Twingo,Renault,,,,Avtomatski,82,Cena po dogovoru,Pravna oseba
BMW X6,BMW,2018,106000,Dizel,Avtomatski,258,,Pravna oseba
Mercedes-Benz GLC-Razred,Mercedes-Benz,2021,155058,Dizel,Avtomatski,163,,Pravna oseba
Peugeot 408,Peugeot,2024,30000,Bencin,Avtomatski,131,20999,Pravna oseba
Volvo V60,Volvo,2019,206000,Dizel,Avtomatski,150,,Pravna oseba
Volkswagen Tiguan Allspace,Volkswagen,2020,136582,Dizel,Avtomatski,150,,Pravna oseba
Volkswagen Tiguan,Volkswagen,2019,129013,Bencin,Avtomatski,150,,Pravna oseba
Volkswagen Taigo,Volkswagen,2025,17000,Bencin,Ročni,116,,Pravna oseba
Volkswagen Passat,Volkswagen,2022,118700,Bencin,Avtomatski,150,,Pravna oseba
Volkswagen ID.5,Volkswagen,2022,81000,,Avtomatski,204,,Pravna oseba
Renault Austral,Renault,2023,123000,Hibrid,Avtomatski,158,,Pravna oseba
Renault Twingo,Renault,,,,Avtomatski,82,Cena po dogovoru,Pravna oseba
Volvo XC40,Volvo,2021,89571,Hibrid,Avtomatski,179,,Pravna oseba
Ford Explorer,Ford,2025,44775,,Avtomatski,286,,Pravna oseba
BMW X1,BMW,2024,52962,Bencin,Avtomatski,170,,Pravna oseba
Renault Symbioz,Renault,,,Bencin,Ročni,140,23150,Pravna oseba
Renault Symbioz,Renault,,,Bencin,Ročni,140,24990,Pravna oseba
Renault Clio,Renault,,,Bencin,Ročni,114,18400,Pravna oseba
Renault Symbioz,Renault,,,Hibrid,Avtomatski,158,27190,Pravna oseba
MG MG4,MG,2023,31010,,Avtomatski,204,,Pravna oseba
Suzuki Vitara,Suzuki,2018,128209,Bencin,Ročni,140,,Pravna oseba
Škoda Superb,Škoda,2025,26505,Bencin,Avtomatski,150,,Pravna oseba
Volkswagen Tiguan,Volkswagen,2025,26051,Bencin,Avtomatski,131,,Pravna oseba
Volkswagen ID.5,Volkswagen,2022,67381,,Avtomatski,174,,Pravna oseba
BMW X5,BMW,2014,187000,Dizel,Avtomatski,218,,Pravna oseba
KIA Sportage,KIA,2026,5000,Bencin,Avtomatski,150,29799,Pravna oseba
Renault Captur,Renault,,,Bencin,Ročni,116,20250,Pravna oseba
Renault Captur,Renault,,,Bencin,Ročni,91,19100,Pravna oseba
Renault Captur,Renault,,,Bencin,Ročni,140,23480,Pravna oseba
Renault Captur,Renault,,,Bencin,Ročni,140,22200,Pravna oseba
Renault Captur,Renault,,,Bencin,Ročni,114,20990,Pravna oseba
Renault Captur,Renault,,,Bencin,Ročni,114,20990,Pravna oseba
Renault Captur,Renault,,,Bencin,Ročni,116,19440,Pravna oseba
Renault Captur,Renault,,,Hibrid,Avtomatski,143,23700,Pravna oseba
Ford Focus,Ford,2018,139888,Bencin,Ročni,150,,Pravna oseba
Seat Leon,Seat,2021,80273,Bencin,Avtomatski,150,,Pravna oseba
Mercedes-Benz E-Razred,Mercedes-Benz,2022,212451,Hibrid,Avtomatski,306,19980,Pravna oseba
Renault Austral,Renault,,,Bencin,Avtomatski,148,30300,Pravna oseba
Alfa Romeo Stelvio,Alfa,2022,48930,Dizel,Avtomatski,209,,Pravna oseba
Renault Austral,Renault,,,Bencin,Avtomatski,150,31300,Pravna oseba
MG MG5,MG,2022,71881,,Avtomatski,177,,Pravna oseba
MG MG4,MG,2024,25229,,Avtomatski,204,,Pravna oseba
MG Marvel R,MG,2022,59644,,Avtomatski,179,,Pravna oseba
MINI Countryman,MINI,2023,106131,Bencin,Avtomatski,136,,Pravna oseba
Mercedes-Benz EQA,Mercedes-Benz,2023,60206,,Avtomatski,190,,Pravna oseba
Renault Espace,Renault,2018,217000,Dizel,Avtomatski,160,,Pravna oseba
BMW X3,BMW,2020,124303,Dizel,Avtomatski,326,,Pravna oseba
Peugeot 508,Peugeot,2019,155299,Dizel,Ročni,131,,Pravna oseba
Peugeot 5008,Peugeot,2021,132911,Dizel,Ročni,131,,Pravna oseba
Peugeot 5008,Peugeot,2022,146008,Dizel,Ročni,131,,Pravna oseba
Peugeot 5008,Peugeot,2023,114809,Bencin,Avtomatski,131,,Pravna oseba
Peugeot 5008,Peugeot,2020,106109,Bencin,Avtomatski,131,,Pravna oseba
Renault Austral,Renault,,,Bencin,Avtomatski,158,32520,Pravna oseba
Peugeot 408,Peugeot,2023,57633,Bencin,Avtomatski,131,,Pravna oseba
Peugeot 3008,Peugeot,2020,128986,Bencin,Avtomatski,131,,Pravna oseba
Peugeot 3008,Peugeot,2022,150463,Dizel,Avtomatski,131,,Pravna oseba
Audi Q4,Audi,2023,109125,,Avtomatski,299,,Pravna oseba
KIA Sportage,KIA,2026,5000,Bencin,Avtomatski,150,27399,Pravna oseba
Volkswagen Golf,Volkswagen,2020,128000,Dizel,Avtomatski,150,,Pravna oseba
Nissan Qashqai,Nissan,2022,121264,Bencin,Avtomatski,158,,Pravna oseba
Peugeot 308,Peugeot,2023,43000,Hibrid,Avtomatski,181,,Pravna oseba
Peugeot 2008,Peugeot,2020,138613,Dizel,Avtomatski,131,,Pravna oseba
